,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
65157,0.01270545,59,0,0.33567783799999995,7250.0,13,0,2,0,2.0
103711,0.9999999,46,1,0.147970406,5000.0,3,0,0,0,0.0
80108,0.255109605,49,0,0.327358279,4462.0,8,0,1,0,0.0
1445,0.477140863,71,0,0.349572725,11350.0,11,0,3,0,0.0
147126,0.000344729,44,0,0.110262703,11000.0,12,0,1,0,0.0
45137,0.902958956,50,4,0.460170364,10682.0,14,0,2,0,3.0
82781,0.117031116,93,0,0.021468041,47232.0,9,0,1,0,0.0
87594,0.101894851,63,0,0.596380471,2375.0,5,0,2,0,0.0
45101,0.0,46,0,0.182909126,10332.0,5,0,3,0,4.0
64837,0.048828056,64,0,0.008274721,4833.0,4,0,0,0,0.0
7969,0.9750025,57,1,0.309327196,7386.0,3,0,1,0,0.0
107606,0.9999999,60,0,0.480385711,4562.0,2,0,2,0,1.0
99324,0.048255995,49,0,1.106757297,2500.0,7,0,1,0,0.0
65942,0.6527587429999999,36,0,0.088903171,4667.0,4,0,0,0,0.0
69300,0.9999999,29,0,0.0,820.0,1,0,0,0,0.0
79627,0.114691625,60,0,0.790067179,4167.0,14,0,2,0,1.0
143843,0.026807877,39,0,0.774757888,3200.0,7,0,1,0,0.0
749,0.0,63,0,0.052672049000000006,2600.0,3,0,0,0,1.0
25505,0.008469513,49,0,0.549855491,6919.0,12,0,2,0,2.0
77761,0.0,39,0,0.343465653,10000.0,11,0,1,0,1.0
19232,0.9999999,28,0,0.181662382,2333.0,3,3,0,0,0.0
121527,0.027060461,73,0,0.925339367,883.0,8,0,1,0,0.0
94214,0.769972001,53,1,0.497105568,9500.0,13,0,2,0,2.0
111630,0.105893047,51,2,0.7512274959999999,610.0,13,0,0,0,0.0
51307,0.0,28,0,0.0,2400.0,3,0,0,0,0.0
85760,0.127620694,58,0,0.25760779,15608.0,22,0,2,0,1.0
84780,0.677867368,54,0,0.315027608,6700.0,15,0,1,0,0.0
59986,0.907015497,59,0,0.052081578,5932.0,2,0,0,1,3.0
35039,0.000132323,40,0,0.014097181,3333.0,7,0,0,0,0.0
121380,0.015624023,43,0,0.95160484,10000.0,6,0,2,0,2.0
89899,0.010060822,63,0,0.20499461,5565.0,11,0,1,0,0.0
124131,0.290706075,39,0,0.67554693,5667.0,12,0,2,0,2.0
13293,0.056531206,55,0,0.075557862,9634.0,8,0,0,0,2.0
8741,0.734227847,37,0,0.888467015,4213.0,7,0,1,0,3.0
106394,0.064789417,63,0,0.400639744,2500.0,4,0,1,0,0.0
142263,0.371959178,62,0,0.464568298,11500.0,18,0,4,0,1.0
54234,0.415709188,58,0,0.33764418,2860.0,4,0,0,0,1.0
77171,0.6712785040000001,55,1,0.396075491,8000.0,9,0,1,0,0.0
95778,0.15807104800000002,58,0,0.167470112,10371.0,7,0,1,0,0.0
92852,0.615638403,41,0,0.665627436,7697.0,11,0,1,0,2.0
39999,0.5936435870000001,30,0,0.219756049,5000.0,6,0,0,0,0.0
134556,0.532483858,46,1,0.7298340409999999,5181.0,10,0,2,0,4.0
129383,0.091493189,48,0,0.264133528,13000.0,12,0,1,0,1.0
82345,0.012652365,51,0,0.3815107720000001,7333.0,10,0,2,0,1.0
10739,0.525776296,45,0,0.35823974299999994,8725.0,8,0,2,0,3.0
28180,0.0,48,0,0.221781765,4792.0,6,0,1,0,0.0
56753,0.226154769,25,0,0.013194722,2500.0,2,0,0,0,0.0
69962,0.508883932,43,0,0.641173919,6916.0,8,0,1,0,0.0
124694,0.011518357,62,0,0.602159753,5833.0,25,0,1,0,0.0
93853,0.192030641,39,0,0.6366107839999999,2206.0,9,0,1,0,0.0
49354,0.03664634,68,0,0.587610619,1694.0,15,0,1,0,0.0
32648,0.061756816,53,0,0.224815312,11911.0,11,0,2,0,2.0
91011,0.9999999,44,0,0.00933126,4500.0,0,2,0,0,0.0
32295,0.004062437,87,0,0.0016275279999999998,4300.0,5,0,0,0,0.0
139208,0.003774072,48,0,0.448367443,6400.0,8,0,1,0,1.0
21729,0.0055970790000000005,39,0,0.404046415,3360.0,10,0,1,0,3.0
57866,0.160384182,47,0,0.273755344,7250.0,10,0,2,0,0.0
40460,0.5216851339999999,36,0,0.371104816,6000.0,8,0,1,0,1.0
40285,0.5506322229999999,31,0,0.235050997,15000.0,10,0,2,0,0.0
133375,0.454835728,43,0,0.421059129,8100.0,9,0,1,0,1.0
122317,0.054672026,54,0,0.414878016,7500.0,10,0,3,0,2.0
89512,0.707093283,47,0,0.46831646,2666.0,3,0,1,0,0.0
67001,0.251433891,40,0,0.234161007,8980.0,9,0,0,0,0.0
131549,0.42086649,39,1,0.5075769410000001,6400.0,11,0,2,0,0.0
66018,0.109294535,44,0,0.521924586,5860.0,5,0,2,0,3.0
148271,0.117534068,42,0,0.683063387,5000.0,25,0,2,0,2.0
53490,0.718070636,47,0,0.825490807,3208.0,9,0,1,0,0.0
22879,0.2277092,65,0,0.34862793,9000.0,12,0,1,0,1.0
93883,1.103379324,55,0,0.659152881,5500.0,7,1,2,1,0.0
91571,0.0,49,0,0.399925825,8088.0,9,0,2,0,1.0
5961,0.150989059,60,0,0.35588137299999995,3000.0,11,0,1,0,0.0
72789,0.601139886,36,0,0.437545547,6860.0,6,0,1,0,2.0
144029,0.021130562,54,0,0.368108365,4207.0,8,0,2,0,0.0
101309,0.041278349,43,0,0.5063528429999999,4800.0,5,0,1,0,1.0
130236,0.180055085,54,0,0.03952337,11916.0,7,0,0,0,2.0
126257,0.143740379,58,0,0.691601976,4250.0,12,0,3,0,0.0
74017,0.6880374359999999,43,2,0.420405274,11300.0,12,0,2,0,2.0
114428,0.13732238800000002,42,0,0.4897660820000001,6155.0,15,0,2,0,3.0
112659,0.810021588,55,1,0.13541309599999998,5833.0,4,0,0,1,0.0
63751,0.124143005,31,0,0.915593705,2795.0,14,0,2,0,1.0
77211,0.5520919479999999,51,1,0.906623817,5600.0,9,0,1,0,3.0
92095,0.491950517,35,0,0.7034804590000001,5142.0,10,0,2,0,0.0
17370,0.101996394,57,0,0.972955842,4732.0,9,0,3,0,3.0
4869,0.031775635,43,0,0.314567029,3960.0,9,0,2,0,1.0
120529,0.44557052,58,0,0.344126984,15749.0,14,0,1,0,0.0
130962,0.330546551,38,0,0.074011775,10700.0,3,0,0,0,0.0
123183,0.219846022,77,1,0.208622398,2017.0,7,0,1,0,0.0
141980,1.004029249,45,1,0.116119458,5390.0,3,2,0,0,2.0
145113,0.9999999,41,0,0.158531043,11000.0,3,0,1,0,2.0
83577,0.169998852,53,0,0.213267544,7295.0,13,0,1,0,0.0
108314,0.9999999,63,0,0.260434891,4000.0,8,0,1,0,1.0
44876,1.043370848,64,7,0.403561775,18866.0,17,2,2,3,0.0
24719,0.114243412,77,0,0.725568608,4000.0,17,0,3,0,0.0
131681,0.006189887,29,0,0.329833651,7333.0,9,0,2,0,0.0
69222,0.179705728,29,0,0.427893027,4000.0,9,0,1,0,0.0
80812,0.9999999,29,0,0.08888048400000001,5287.0,2,0,0,0,0.0
145421,0.065477381,53,0,0.179053706,9700.0,6,0,1,0,1.0
103525,0.199687232,45,0,0.311558459,7500.0,12,0,2,0,2.0
44764,0.144215813,65,0,0.54688747,10023.0,11,0,3,0,1.0
91620,0.19429751,61,0,0.393535488,3000.0,6,0,0,0,0.0
60181,0.16944834600000006,70,0,0.029204694,7669.0,7,0,0,0,0.0
86740,0.501444428,60,0,0.489978779,4240.0,11,0,0,0,0.0
99578,0.9999999,64,0,0.216785548,15000.0,7,0,1,0,0.0
46742,0.239842149,54,1,0.132178563,8601.0,27,1,0,0,1.0
34638,0.0,50,0,0.0,3426.0,2,0,0,0,1.0
41405,0.0,62,0,0.355728854,5000.0,6,0,1,0,1.0
55372,0.004402903,35,0,0.333644424,15000.0,6,0,1,0,1.0
130716,0.066750175,58,0,0.335170207,11250.0,16,0,1,0,2.0
21195,0.364770013,51,0,1.315731917,6400.0,12,0,2,0,4.0
10030,0.046143378,44,0,0.385047385,8546.0,11,0,1,0,3.0
108269,0.032918911,60,0,0.659250585,3415.0,5,0,2,0,0.0
106310,0.9999999,29,0,0.09002148,5120.0,4,5,0,0,0.0
97778,0.01732435,33,0,0.22762179,8333.0,7,0,1,0,0.0
23557,0.130221354,40,0,0.75044991,5000.0,3,0,1,0,0.0
108237,0.0,27,0,0.633373934,820.0,2,0,0,0,0.0
52744,0.784105397,57,0,0.303556851,8574.0,5,0,1,0,0.0
17361,0.040998677,29,0,0.26234753,5000.0,7,0,1,0,0.0
117821,1.28742515,40,1,0.075517334,3720.0,2,3,0,0,1.0
90674,0.9999999,53,0,0.393310265,2600.0,3,1,0,0,3.0
126580,0.6319802520000001,68,0,0.583427072,8000.0,20,0,2,0,0.0
126240,0.46116585,47,0,0.418572678,8000.0,8,0,3,0,3.0
23959,0.866966109,44,5,0.437642519,5700.0,20,1,1,2,0.0
11633,0.000693849,46,0,0.303874308,5600.0,10,1,2,0,3.0
91552,0.0,82,0,0.0,10500.0,4,0,0,0,0.0
106533,0.010085805,67,0,0.851742275,3041.0,8,0,4,0,1.0
19231,0.624344275,42,0,0.408176869,9000.0,12,0,2,0,3.0
143783,0.05859279200000001,61,0,0.313463515,6810.0,24,0,3,0,0.0
82749,0.109966061,50,0,0.033163903,12000.0,15,0,0,0,0.0
71760,0.040351992,47,0,0.608442099,3600.0,7,0,2,0,2.0
56150,0.9999999,63,0,0.040662149,9000.0,5,0,0,0,0.0
121655,0.023974401,60,0,0.128042782,39642.0,8,0,2,0,4.0
134362,0.7495425729999999,33,0,0.211069539,7750.0,10,0,1,0,1.0
97588,0.274999373,48,0,0.15211338900000002,3950.0,6,0,0,0,1.0
145900,0.740518962,40,1,0.153105255,12977.0,5,0,1,0,0.0
91194,0.173138149,58,0,0.09026852,5250.0,9,0,0,0,0.0
107203,0.9999999,62,0,0.15494045,9067.0,2,0,1,0,0.0
109460,0.9999999,62,0,0.0,25833.0,0,0,0,0,1.0
138456,0.719698449,46,0,0.551146489,8416.0,10,0,2,0,0.0
146151,0.978007331,37,1,0.373320837,3200.0,8,1,0,0,0.0
124303,1.03654485,31,0,0.176986146,3536.0,4,1,0,0,0.0
5371,0.093953415,40,0,0.052471019,9833.0,6,0,0,1,2.0
28300,0.364487949,79,0,0.15880547,7165.0,4,0,1,0,0.0
39415,0.092426552,61,0,0.638391917,4750.0,12,0,1,0,0.0
83169,0.376817633,33,0,0.119387605,6792.0,11,0,0,0,2.0
61965,0.01685078,52,0,0.493617021,2584.0,12,0,1,0,0.0
65292,0.88209607,52,2,1.25419493,2800.0,9,0,1,0,0.0
44286,0.005531797,44,0,0.133798066,4446.0,10,0,0,0,2.0
144095,0.475683573,35,0,0.48970206,5000.0,7,0,1,0,1.0
108280,0.044498517,78,0,0.15352144,4500.0,6,0,0,0,1.0
139613,0.276549163,47,0,0.468112245,3135.0,9,0,0,0,1.0
23801,0.494729386,35,0,0.078351546,14000.0,4,0,0,0,0.0
58954,0.932742307,57,0,0.17915878300000002,6870.0,3,1,1,0,0.0
50743,0.9002199559999999,28,0,0.06527875799999999,2833.0,3,0,0,0,1.0
64064,0.165073989,45,0,0.170184403,4500.0,7,0,0,0,0.0
86033,0.06675733,39,0,0.124081153,3400.0,5,0,0,0,2.0
142102,0.033655577,50,0,0.236247829,12088.0,12,0,4,0,3.0
136621,0.069115388,73,0,0.178067885,3829.0,9,0,1,0,0.0
124633,0.027168957,32,0,0.2443399,3400.0,9,0,0,0,0.0
27367,0.014430343,59,0,0.278632479,4094.0,5,0,1,0,0.0
143317,0.025799355,79,0,0.004748338,6317.0,3,0,0,0,0.0
87287,0.095443588,62,0,0.506441069,5200.0,16,0,1,0,0.0
139736,0.517217507,73,0,0.138558233,10500.0,8,0,1,0,0.0
89222,0.30185644100000003,52,2,0.528588565,2500.0,16,0,0,0,0.0
98995,0.952783024,51,4,0.478968069,15000.0,10,0,3,0,4.0
135309,0.059548294,42,0,0.514193894,5600.0,20,0,2,0,3.0
140722,0.079646673,73,0,0.220624797,9250.0,13,0,1,0,0.0
23329,0.216939685,66,0,0.657540603,4309.0,12,0,3,0,0.0
37197,0.938209905,34,0,0.401414949,3250.0,7,1,1,0,0.0
139513,0.0,27,0,0.356899074,2050.0,7,0,0,0,0.0
36829,0.386070647,71,0,0.220177982,10000.0,6,0,2,0,1.0
84472,0.207032733,34,0,0.26010513,5516.0,11,0,1,0,0.0
125178,0.068584811,62,0,0.050714286,1399.0,4,0,0,0,0.0
145923,1.02972457,44,0,0.5698100629999999,3000.0,5,0,0,0,1.0
12771,0.109567802,53,0,0.190534878,4056.0,15,0,0,0,2.0
40889,0.7079967070000001,39,6,0.446707589,3583.0,7,0,0,0,2.0
2219,0.8770764120000001,51,4,0.81300813,4550.0,15,0,1,0,2.0
92019,0.007982962,63,0,0.162057302,10051.0,13,0,1,0,0.0
13708,0.966022652,36,4,0.310125432,5500.0,5,0,1,1,2.0
37376,0.312384381,67,1,0.123747723,8783.0,5,0,0,1,0.0
60171,0.19146596,62,0,0.326362135,5450.0,6,0,1,0,0.0
43736,0.030249244,63,0,0.555686854,3384.0,12,0,1,0,0.0
30065,0.04272477,76,0,0.043021033,2091.0,7,0,0,0,1.0
14699,0.046862171,58,0,0.033915725,1945.0,7,0,0,0,1.0
104590,0.047869074000000005,62,0,0.095738033,8000.0,8,0,1,0,1.0
18767,0.010016779,62,0,0.31880046100000003,8669.0,15,0,2,0,0.0
115330,0.9999999,31,2,0.08681925800000001,3800.0,1,2,0,0,0.0
46512,0.239933263,65,2,0.582722304,7500.0,15,0,2,0,0.0
33308,0.201297644,50,0,0.273801935,17256.0,4,0,1,0,3.0
87557,0.009354385,73,0,0.819781392,3750.0,40,0,1,0,1.0
52831,0.042352111,59,0,0.145958329,9166.0,13,0,2,0,0.0
62017,0.196281041,57,0,0.13260762,4041.0,10,0,1,0,0.0
61604,0.948112034,39,0,0.8235882059999999,2000.0,7,0,0,0,0.0
107455,0.009673563,47,0,0.072273538,6170.0,3,0,0,0,2.0
97873,1.0044279390000002,30,0,0.17556719,2864.0,2,0,0,0,0.0
49274,0.584471603,39,0,0.51395252,2400.0,8,0,0,0,0.0
140796,0.0,29,0,0.5069404279999999,3457.0,6,0,1,0,0.0
69609,0.9999999,35,1,2.454606142,1497.0,10,0,3,0,2.0
131281,0.561534266,53,0,0.098489683,4700.0,3,0,0,0,1.0
33827,0.0,76,0,0.258327165,1350.0,2,0,1,0,0.0
77239,0.09739543,29,0,0.427075067,6300.0,11,0,2,0,0.0
9551,0.718405892,47,0,0.490254873,2000.0,7,0,0,0,0.0
89650,0.083895805,59,0,0.125767152,21833.0,6,0,2,0,4.0
11253,0.046789882000000005,57,0,0.246997598,4995.0,15,0,1,0,1.0
10496,0.316165384,35,0,0.331385914,3080.0,8,0,0,0,0.0
60344,0.180352456,65,1,0.439140215,4000.0,6,0,1,0,2.0
146972,0.335660612,33,0,0.227803146,7883.0,8,0,1,0,5.0
23726,0.256970162,58,0,0.353133293,4898.0,14,0,0,0,1.0
82888,0.180109767,45,0,0.441990235,4300.0,12,0,1,0,0.0
52988,0.122403682,69,0,0.298283619,6000.0,12,0,2,0,0.0
117870,0.501329541,71,0,0.442234246,6283.0,4,0,2,0,0.0
7990,0.989335111,69,0,0.7694108470000001,2562.0,3,0,1,0,0.0
27802,0.5953100570000001,63,1,0.767096522,2558.0,15,0,1,0,0.0
61884,0.609456507,62,2,0.83831592,9666.0,19,4,2,0,3.0
146609,0.018009672,43,0,0.258372808,12032.0,11,0,1,0,3.0
108073,0.018371618,50,0,0.230122203,6300.0,10,0,1,0,2.0
47049,0.7894801020000001,58,0,0.387075283,1500.0,8,0,0,0,0.0
118811,0.29732672600000004,63,0,0.465317206,4050.0,10,0,2,0,1.0
